year	month	day	hour	min	secound	N	S	Avg	20nhzfilt:	Nf	Sf	Avgf
1976	5	31	21	7	13	89	-126	108	filt:	111	-92	101
1976	6	10	21	7	13	99	-121	110	filt:	109	-92	101
1976	6	20	21	7	13	107	-114	111	filt:	108	-93	100
1976	6	30	21	7	13	117	-107	112	filt:	106	-93	100
1976	7	10	21	7	13	119	-99	109	filt:	105	-93	99
1976	7	20	21	7	13	128	-97	112	filt:	104	-94	99
1976	7	30	21	7	13	135	-94	114	filt:	103	-94	99
1976	8	9	21	7	13	139	-81	110	filt:	102	-95	98
1976	8	19	21	7	13	118	-80	99	filt:	100	-95	98
1976	8	29	21	7	13	117	-66	92	filt:	99	-95	97
1976	9	8	21	7	13	121	-62	91	filt:	98	-96	97
1976	9	18	21	7	13	132	-56	94	filt:	97	-96	97
1976	9	28	21	7	13	129	-62	96	filt:	97	-96	96
1976	10	8	21	7	13	122	-67	95	filt:	96	-97	96
1976	10	18	21	7	13	113	-69	91	filt:	95	-97	96
1976	10	28	21	7	13	103	-82	93	filt:	94	-97	96
1976	11	7	21	7	13	95	-88	91	filt:	93	-98	95
1976	11	17	21	7	13	88	-95	92	filt:	93	-98	95
1976	11	27	21	7	13	86	-107	97	filt:	92	-98	95
1976	12	7	21	7	13	89	-107	98	filt:	91	-98	95
1976	12	17	21	7	13	86	-110	98	filt:	91	-98	95
1976	12	27	21	7	13	75	-111	93	filt:	90	-99	94
1977	1	6	21	7	13	58	-112	85	filt:	90	-99	94
1977	1	16	21	7	13	52	-97	75	filt:	89	-99	94
1977	1	26	21	7	13	44	-81	62	filt:	89	-99	94
1977	2	5	21	7	13	52	-104	78	filt:	89	-100	94
1977	2	15	21	7	13	55	-112	83	filt:	88	-100	94
1977	2	25	21	7	13	58	-127	92	filt:	88	-100	94
1977	3	7	21	7	13	53	-139	96	filt:	88	-100	94
1977	3	17	21	7	13	62	-134	98	filt:	87	-101	94
1977	3	27	21	7	13	56	-135	95	filt:	87	-101	94
1977	4	6	21	7	13	61	-132	96	filt:	87	-101	94
1977	4	16	21	7	13	60	-136	98	filt:	87	-102	94
1977	4	26	21	7	13	69	-124	96	filt:	87	-102	94
1977	5	6	21	7	13	76	-115	96	filt:	86	-103	95
1977	5	16	21	7	13	84	-119	102	filt:	86	-103	95
1977	5	26	21	7	13	93	-123	108	filt:	86	-104	95
1977	6	5	21	7	13	98	-116	107	filt:	86	-104	95
1977	6	15	21	7	13	96	-109	102	filt:	86	-105	95
1977	6	25	21	7	13	104	-103	104	filt:	86	-106	96
1977	7	5	21	7	13	110	-91	100	filt:	86	-106	96
1977	7	15	21	7	13	113	-89	101	filt:	86	-107	96
1977	7	25	21	7	13	112	-84	98	filt:	86	-107	97
1977	8	4	21	7	13	113	-82	97	filt:	86	-108	97
1977	8	14	21	7	13	115	-66	91	filt:	86	-109	97
1977	8	24	21	7	13	107	-67	87	filt:	86	-109	98
1977	9	3	21	7	13	110	-67	88	filt:	86	-110	98
1977	9	13	21	7	13	109	-71	90	filt:	87	-110	98
1977	9	23	21	7	13	114	-76	95	filt:	87	-111	99
1977	10	3	21	7	13	113	-71	92	filt:	87	-111	99
1977	10	13	21	7	13	117	-68	93	filt:	87	-111	99
1977	10	23	21	7	13	115	-72	94	filt:	87	-112	99
1977	11	2	21	7	13	108	-82	95	filt:	88	-112	100
1977	11	12	21	7	13	106	-92	99	filt:	88	-112	100
1977	11	22	21	7	13	106	-95	100	filt:	88	-112	100
1977	12	2	21	7	13	104	-103	103	filt:	88	-112	100
1977	12	12	21	7	13	90	-109	99	filt:	89	-112	100
1977	12	22	21	7	13	80	-118	98	filt:	89	-111	100
1978	1	1	21	7	13	56	-129	93	filt:	89	-111	100
1978	1	11	21	7	13	49	-137	93	filt:	89	-111	100
1978	1	21	21	7	13	52	-144	98	filt:	89	-110	100
